age,going
57,No
28,No
50,No
55,No
63,No
35,No
45,No
49,No
31,No
30,No
48,No
19,No
34,No
54,No
31,No
62,No
43,No
65,No
43,No
42,No
67,No
49,No
49,No
58,No
32,No
30,No
53,No
36,No
45,No
23,No
34,No
44,No
34,No
17,No
55,No
25,No
41,No
48,No
40,No
25,No
NA,No
43,Yes
32,No
13,Yes
47,No
35,No
33,No
54,No
54,No
54,No
NA,No
54,No
67,No
NA,No
5,Yes
51,No
43,No
40,No
43,Yes
38,No
NA,No
32,No
72,No
44,No
NA,No
32,No
53,No
26,No
NA,No
32,No
72,No
35,No
44,No
59,No
37,No
22,No
33,No
37,No
50,No
47,No
54,No
41,No
40,No
44,No
31,No
45,No
41,No
34,No
52,No
54,No
58,No
28,Yes
28,No
45,No
30,No
69,No
31,No
32,No
30,No
67,No
42,No
44,No
34,No
45,Yes
44,Yes
41,No
NA,No
44,No
37,No
NA,No
34,No
54,No
34,No
53,Yes
33,No
64,No
36,No
44,No
35,No
35,Yes
58,No
44,No
58,No
19,No
39,No
49,No
56,No
NA,No
NA,No
40,No
56,No
49,Yes
44,No
17,Yes
18,Yes
NA,No
NA,No
7,No
NA,Yes
34,No
57,No
39,No
28,No
44,No
44,No
23,Yes
27,No
48,No
43,No
43,No
26,No
34,No
44,No
34,No
27,No
45,No
35,No
68,No
38,No
32,No
33,No
31,No
47,No
19,No
43,No
33,No
54,No
49,No
45,No
63,No
45,No
40,Yes
34,No
35,Yes
35,No
22,No
46,No
30,No
11,Yes
33,No
36,No
34,No
NA,No
30,No
33,No
NA,No
56,No
43,No
67,No
43,Yes
37,No
49,No
NA,No
46,No
23,No
44,No
31,No
44,No
41,No
NA,No
67,No
23,No
39,No
46,No
39,No
41,No
47,No
26,No
NA,No
58,No
62,No
37,No
NA,No
25,No
34,No
36,No
35,No
NA,No
45,No
42,No
57,No
46,No
57,No
38,No
32,No
29,No
42,No
34,No
41,No
39,No
14,Yes
33,No
60,No
46,No
49,No
27,No
50,No
36,No
51,No
35,No
31,No
47,No
70,No
52,No
62,No
43,No
NA,No
54,No
37,No
41,No
64,No
31,No
62,No
NA,No
33,No
36,No
30,No
51,No
37,No
41,No
49,No
20,Yes
52,No
31,No
NA,No
44,Yes
16,Yes
14,Yes
35,No
38,No
14,Yes
NA,No
NA,No
NA,No
NA,No
NA,No
57,No
38,No
27,No
36,No
51,No
53,No
46,No
50,No
NA,No
31,No
14,Yes
26,No
34,No
24,No
41,Yes
39,No
38,No
34,No
34,No
34,No
41,No
55,No
47,No
37,No
23,No
46,No
29,No
34,No
35,No
21,No
43,No
56,No
33,Yes
37,No
36,No
NA,No
34,No
29,No
34,No
35,No
28,No
56,No
20,No
35,No
62,No
54,No
15,Yes
45,No
57,No
33,No
44,No
55,No
23,No
31,No
43,No
34,No
36,No
31,No
63,No
31,No
44,No
34,No
46,No
53,No
40,Yes
NA,No
32,No
39,No
77,Yes
52,No
40,No
74,No
41,No
52,No
53,No
30,No
75,No
NA,No
49,No
NA,No
NA,No
31,No
56,No
NA,No
39,No
41,No
27,No
46,No
43,No
NA,Yes
41,No
39,No
47,No
50,No
36,Yes
51,No
27,No
43,No
NA,No
26,No
46,No
34,No
32,Yes
55,No
60,No
69,No
70,No
39,No
46,Yes
35,No
37,No
100,No
30,No
45,No
54,No
44,No
30,No
58,No
42,No
33,No
9,Yes
61,No
27,No
43,Yes
38,Yes
60,No
100,No
40,No
40,No
46,No
40,No
45,No
34,Yes
48,No
46,No
NA,No
45,Yes
45,Yes
29,No
47,No
40,No
NA,No
27,No
34,No
51,No
46,No
36,No
35,No
34,No
44,No
48,No
36,No
29,No
NA,No
33,No
51,No
53,No
37,No
42,No
36,Yes
29,No
45,No
NA,No
49,No
35,Yes
57,No
28,No
47,No
29,No
50,No
53,Yes
25,No
27,No
41,Yes
47,No
60,No
33,No
47,No
31,No
52,No
33,No
37,No
54,No
19,No
18,No
34,No
32,No
52,No
41,Yes
44,No
33,No
38,No
42,No
37,No
27,No
44,No
48,No
50,No
42,No
52,No
50,Yes
61,No
38,No
44,No
19,No
49,Yes
24,No
46,No
44,No
38,No
49,No
47,No
35,Yes
NA,No
40,No
50,No
37,No
17,Yes
38,No
16,No
32,No
50,No
63,Yes
14,Yes
33,No
55,No
51,No
54,No
51,No
47,No
45,No
20,No
19,Yes
24,Yes
NA,No
20,No
22,Yes
21,No
14,No
35,No
38,No
27,No
NA,No
31,No
25,No
39,No
16,No
16,Yes
13,Yes
13,Yes
52,No
45,No
45,No
45,No
45,No
37,No
44,No
51,No
33,No
32,No
28,No
36,No
17,Yes
16,Yes
17,Yes
63,No
15,No
40,No
31,No
58,No
47,No
19,No
20,No
35,No
23,No
NA,No
38,Yes
45,No
45,No
45,No
39,No
35,Yes
27,No
29,No
29,No
25,No
32,No
37,No
45,No
NA,No
33,No
48,No
47,No
48,No
24,No
43,No
48,No
45,No
20,No
32,No
41,No
35,No
20,No
115,Yes
48,No
27,No
48,No
48,No
13,Yes
13,Yes
40,No
24,No
26,No
24,No
57,No
32,No
21,Yes
NA,No
22,No
54,No
26,No
45,No
55,No
27,No
60,No
33,No
45,No
46,No
29,No
70,No
39,No
53,No
49,No
17,Yes
40,Yes
46,No
39,Yes
46,No
39,No
42,No
NA,No
70,No
49,Yes
26,No
42,Yes
50,No
42,No
37,No
38,No
24,No
47,No
NA,Yes
NA,Yes
52,Yes
45,Yes
16,No
35,No
45,No
45,No
46,No
51,No
47,No
47,No
32,No
40,Yes
43,Yes
37,No
26,No
54,No
54,No
22,No
29,No
34,No
38,No
32,No
32,No
61,No
45,No
39,Yes
30,No
40,No
45,No
42,No
33,No
27,No
43,No
44,No
40,No
NA,No
42,No
45,No
37,No
50,No
45,No
24,No
37,No
45,No
30,No
43,Yes
59,No
46,No
40,No
32,No
46,Yes
32,No
29,No
39,No
40,No
30,No
35,No
35,No
14,No
43,No
31,No
31,No
55,No
28,No
24,No
29,No
51,No
29,No
34,No
36,No
33,No
24,No
34,No
33,No
25,No
36,No
34,No
34,No
22,No
30,No
34,No
24,No
41,No
35,No
33,No
24,No
27,No
33,No
27,No
38,No
47,No
35,No
35,No
33,No
52,No
27,No
31,No
11,Yes
23,No
29,No
26,No
28,No
58,No
56,No
25,No
NA,No
19,No
31,No
29,No
37,No
35,No
56,No
20,No
31,No
NA,No
24,No
36,No
27,No
30,No
22,No
30,No
25,Yes
23,No
45,No
20,No
28,No
24,No
NA,No
35,No
29,No
29,No
